,Seqname,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
31,mtr-miR398a-3p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,gma-miR9740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,gma-miR4380b,21.0,0.954545,-1.0,441.0,2.089559413996548e-09,2.089559413996548e-09,0.1793666819074063,2.089559413996548e-09,2.089559413996548e-09,2.089559413996548e-09,2.089559413996548e-09,0.23094996146719496,2.089559413996548e-09,2.089559413996548e-09,0.1793666819074063,2.089559413996548e-09,2.089559413996548e-09,2.089559413996548e-09,0.1793666819074063,2.089559413996548e-09,2.089559413996548e-09,0.23094996146719496,2.089559413996548e-09,2.089559413996548e-09,0.250101,0.250411,0.99876,-248.74556,-248.473513,1.001095,0.0
34,ath-miR399c-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,ath-miR864-5p,15.0,0.714286,-1.0,0.0,2.775217681553437e-09,2.775217681553437e-09,0.19999999167434698,2.775217681553437e-09,0.19999999167434698,2.775217681553437e-09,2.775217681553437e-09,0.19999999167434698,0.19999999167434698,2.775217681553437e-09,0.19999999167434698,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,2.775217681553437e-09,0.315864,0.316228,0.998849,-402.696408,-402.378756,1.000789,0.0
36,mtr-miR2654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,mtr-miR2592bm-5p,12.0,0.545455,-1.0,0.0,5.316224970247385e-09,5.316224970247385e-09,5.316224970247385e-09,5.316224970247385e-09,0.3333333038984447,5.316224970247385e-09,5.316224970247385e-09,5.316224970247385e-09,5.316224970247385e-09,0.3333333028628656,0.3333333028628656,5.316224970247385e-09,5.316224970247385e-09,5.316224970247385e-09,5.316224970247385e-09,5.316224970247385e-09,5.316224970247385e-09,5.316224970247385e-09,5.316224970247385e-09,5.316224970247385e-09,0.377029,0.37814,0.997063,-578.532971,-577.286829,1.002159,0.0
38,gma-miR5043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,gma-miR1514a-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,ath-miR851-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,ath-miR866-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,mtr-miR5251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,gma-miR156z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,gma-miR10413a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,ath-miR8181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,ath-miR5645c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,mtr-miR169j,12.0,0.571429,-1.0,0.0,3.987168837797999e-09,0.24999998405132468,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,0.24999998405132468,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,0.24999998405132468,3.987168837797999e-09,0.24999998405132468,3.987168837797999e-09,3.987168837797999e-09,3.987168837797999e-09,0.377842,0.378023,0.999521,-577.538298,-577.485468,1.000091,0.0
48,mtr-miR2640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,gma-miR398b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,gma-miR10420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,ath-miR402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,ath-miR1887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,mtr-miR2086-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,gma-miR159b-5p,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,gma-miR172k,12.0,0.571429,-1.0,0.0,5.316224970247387e-09,5.316224970247387e-09,5.316224970247387e-09,5.316224970247387e-09,5.316224970247387e-09,5.316224970247387e-09,0.3333333028628657,5.316224970247387e-09,5.316224970247387e-09,0.3333333028628657,0.3333333038984448,5.316224970247387e-09,5.316224970247387e-09,5.316224970247387e-09,5.316224970247387e-09,5.316224970247387e-09,5.316224970247387e-09,5.316224970247387e-09,5.316224970247387e-09,5.316224970247387e-09,0.3775,0.377002,1.001321,-578.109342,-578.48858,0.999344,0.0
